console,console_common_name,game_title,category_1,category_2,multiplayer,core_name,console_dir,game_file,m3u,category_1_mgl,category_2_mgl,multiplayer_mgl,top_console_mgl,console_mgl,hash,download_url
SNES,SNES,Kirby's Avalanche,Puzzle,Pick-up-N-Play,False,SNES,SNES,Kirby's Avalanche (USA).sfc,,_Waian's Picks/_Top Games by Category/_Puzzle/Kirby's Avalanche (SNES).mgl,_Waian's Picks/_Top Games by Category/_Pick-up-N-Play/Kirby's Avalanche (SNES).mgl,,_Waian's Picks/_Top Games by Console/_SNES/Kirby's Avalanche.mgl,_Waian's Picks/_All Games by Console/_SNES/Kirby's Avalanche.mgl,95e4ac5f3f95863ffd8c6519f93a52b631c97d4a,
GBC,Game Boy Color,Kirby - Tilt 'n' Tumble,Puzzle,Pick-up-N-Play,False,Gameboy,GBC,Kirby - Tilt 'n' Tumble (USA).gbc,,_Waian's Picks/_Top Games by Category/_Puzzle/Kirby - Tilt 'n' Tumble (Game Boy Color).mgl,_Waian's Picks/_Top Games by Category/_Pick-up-N-Play/Kirby - Tilt 'n' Tumble (Game Boy Color).mgl,,_Waian's Picks/_Top Games by Console/_Game Boy Color/Kirby - Tilt 'n' Tumble.mgl,_Waian's Picks/_All Games by Console/_Game Boy Color/Kirby - Tilt 'n' Tumble.mgl,6ab8d666e2bebbb3fee7796c8968aab2ea21b8f9,
MegaDrive,Genesis,Gauntlet IV,Brawlers,Pick-up-N-Play,True,MegaDrive,MegaDrive,"Gauntlet IV (USA, Europe) (En,Ja) (September 1993).md",,_Waian's Picks/_Top Games by Category/_Brawlers/Gauntlet IV (Genesis).mgl,_Waian's Picks/_Top Games by Category/_Pick-up-N-Play/Gauntlet IV (Genesis).mgl,_Waian's Picks/_Top Games by Category/_Multiplayer/Gauntlet IV.mgl,_Waian's Picks/_Top Games by Console/_Genesis/Gauntlet IV.mgl,_Waian's Picks/_All Games by Console/_Genesis/Gauntlet IV.mgl,d28e22207121f0e2980dd409b4fb24f9fb8967ae,
Saturn,Saturn,Dragon Force II,JRPG,Strategy,False,Saturn,Saturn,Dragon Force 2 - Kami Sarishi Daichi ni (JP)/Dragon Force 2 - Kami Sarishi Daichi ni (JP).chd,Dragon Force 2 - Kami Sarishi Daichi ni (JP)/Dragon Force 2 - Kami Sarishi Daichi ni (JP).m3u,_Waian's Picks/_Top Games by Category/_JRPG/Dragon Force II (Saturn).mgl,_Waian's Picks/_Top Games by Category/_Strategy/Dragon Force II (Saturn).mgl,,_Waian's Picks/_Top Games by Console/_Saturn/Dragon Force II.mgl,_Waian's Picks/_All Games by Console/_Saturn/Dragon Force II.mgl,ab9f5984993b146017746290c80b814dfa410fe0,
GAMEBOY,Game Boy,Pokemon Blue,Adventure RPG,Strategy,False,Gameboy,GAMEBOY,"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",,_Waian's Picks/_Top Games by Category/_Adventure RPG/Pokemon Blue (Game Boy).mgl,_Waian's Picks/_Top Games by Category/_Strategy/Pokemon Blue (Game Boy).mgl,,_Waian's Picks/_Top Games by Console/_Game Boy/Pokemon Blue.mgl,_Waian's Picks/_All Games by Console/_Game Boy/Pokemon Blue.mgl,d7037c83e1ae5b39bde3c30787637ba1d4c48ce2,
GAMEBOY,Game Boy,Pokemon Red,Adventure RPG,Strategy,False,Gameboy,GAMEBOY,"Pokemon - Red Version (USA, Europe) (SGB Enhanced).gb",,_Waian's Picks/_Top Games by Category/_Adventure RPG/Pokemon Red (Game Boy).mgl,_Waian's Picks/_Top Games by Category/_Strategy/Pokemon Red (Game Boy).mgl,,_Waian's Picks/_Top Games by Console/_Game Boy/Pokemon Red.mgl,_Waian's Picks/_All Games by Console/_Game Boy/Pokemon Red.mgl,ea9bcae617fdf159b045185467ae58b2e4a48b9a,
GAMEBOY,Game Boy,Pokemon Yellow,Adventure RPG,Strategy,False,Gameboy,GAMEBOY,"Pokemon - Yellow Version - Special Pikachu Edition (USA, Europe) (CGB+SGB Enhanced).gb",,_Waian's Picks/_Top Games by Category/_Adventure RPG/Pokemon Yellow (Game Boy).mgl,_Waian's Picks/_Top Games by Category/_Strategy/Pokemon Yellow (Game Boy).mgl,,_Waian's Picks/_Top Games by Console/_Game Boy/Pokemon Yellow.mgl,_Waian's Picks/_All Games by Console/_Game Boy/Pokemon Yellow.mgl,cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,
PSX,PlayStation,Final Fantasy Tactics,Action Adventure,Strategy,False,PSX,PSX,Final Fantasy Tactics (USA)/Final Fantasy Tactics (USA).chd,Final Fantasy Tactics (USA)/Final Fantasy Tactics (USA).m3u,_Waian's Picks/_Top Games by Category/_Action Adventure/Final Fantasy Tactics (PlayStation).mgl,_Waian's Picks/_Top Games by Category/_Strategy/Final Fantasy Tactics (PlayStation).mgl,,_Waian's Picks/_Top Games by Console/_PlayStation/Final Fantasy Tactics.mgl,_Waian's Picks/_All Games by Console/_PlayStation/Final Fantasy Tactics.mgl,af4503ccba99655d055ed8ec8cef0aa2f6901d15,
PSX,PlayStation,Front Mission 3,JRPG,Strategy,False,PSX,PSX,Front Mission 3 (USA)/Front Mission 3 (USA).chd,Front Mission 3 (USA)/Front Mission 3 (USA).m3u,_Waian's Picks/_Top Games by Category/_JRPG/Front Mission 3 (PlayStation).mgl,_Waian's Picks/_Top Games by Category/_Strategy/Front Mission 3 (PlayStation).mgl,,_Waian's Picks/_Top Games by Console/_PlayStation/Front Mission 3.mgl,_Waian's Picks/_All Games by Console/_PlayStation/Front Mission 3.mgl,2f6fba29feb448d3fd8cb939f96538a664317cd4,
Saturn,Saturn,Dragon Force,JRPG,Strategy,False,Saturn,Saturn,Dragon Force (USA)/Dragon Force (USA).chd,Dragon Force (USA)/Dragon Force (USA).m3u,_Waian's Picks/_Top Games by Category/_JRPG/Dragon Force (Saturn).mgl,_Waian's Picks/_Top Games by Category/_Strategy/Dragon Force (Saturn).mgl,,_Waian's Picks/_Top Games by Console/_Saturn/Dragon Force.mgl,_Waian's Picks/_All Games by Console/_Saturn/Dragon Force.mgl,fb113e730f50a8cab8be8da1d7b9771c2b04304e,
